INFO:2015-06-04 00:20:02:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:20:25:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:20:48:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:21:11:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:21:34:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:21:57:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:22:20:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:22:43:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:23:06:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:23:30:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:23:53:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:24:16:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:24:39:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:25:02:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:25:25:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:25:48:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:26:11:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:26:34:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:26:57:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:27:21:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:27:44:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:28:07:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:28:30:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:28:53:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:29:16:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:29:39:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:30:02:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:30:25:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:30:48:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:31:11:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
INFO:2015-06-04 00:31:35:root: Estado global:{'alarma_trip': '0', 'alarma_gas_enviada': '0', 'chapa': '1', 'alarma_enviada': '0', 'alarma': '0', 'actividad_entrada': '0', 'alarma_gas': '0', 'felipe': '0', 'activo': '1', 'tere': '0', 'ac_encendido': '0'} 
